Dates,Open,Close,Volume
15-12-2022 13:10,2653,2654.85,3847
15-12-2022 13:05,2650,2653,1943
15-12-2022 13:00,2648,2650,2649
15-12-2022 12:55,2648.75,2646.7,641
15-12-2022 12:50,2649.4,2648.9,201
15-12-2022 12:45,2647,2649.4,393
15-12-2022 12:40,2646.5,2646.05,255
15-12-2022 12:35,2648.95,2645.6,1301
15-12-2022 12:30,2649.8,2648.85,400
15-12-2022 12:25,2649.95,2649.85,1166
15-12-2022 12:20,2649.5,2649,1631
15-12-2022 12:15,2646.6,2648.6,794
15-12-2022 12:10,2645.5,2645.8,410
15-12-2022 12:05,2642.35,2644.95,848
15-12-2022 12:00,2645,2642.35,1734
15-12-2022 11:55,2647,2646.3,1151
15-12-2022 11:50,2647,2645.75,949
15-12-2022 11:45,2646.7,2647,412
15-12-2022 11:40,2646.4,2645.1,243
15-12-2022 11:35,2646.05,2646.35,687
15-12-2022 11:30,2642.05,2643.9,1216
15-12-2022 11:25,2643.35,2642.15,565
15-12-2022 11:20,2645.05,2643.35,973
15-12-2022 11:15,2648,2646,942
15-12-2022 11:10,2647,2648.85,2551
15-12-2022 11:05,2639.3,2648,4308
15-12-2022 11:00,2641.9,2639.25,1535
15-12-2022 10:55,2639.65,2640.3,837
15-12-2022 10:50,2639.8,2639.2,1771
15-12-2022 10:45,2640.05,2639.9,5916
15-12-2022 10:40,2645.8,2641.05,1849
15-12-2022 10:35,2648.45,2645.85,1536
15-12-2022 10:30,2649.25,2647.45,771
15-12-2022 10:25,2648,2649.25,1071
15-12-2022 10:20,2648,2647.25,1544
15-12-2022 10:15,2649.7,2648.85,3679
15-12-2022 10:10,2649.85,2649.7,1168
15-12-2022 10:05,2652,2651.35,1779
15-12-2022 10:00,2653.75,2652,2511
15-12-2022 09:55,2654.25,2655.2,1644
15-12-2022 09:50,2653,2654.3,1508
15-12-2022 09:45,2661.7,2653,2575
15-12-2022 09:40,2651.05,2659.1,5852
15-12-2022 09:35,2648,2653.2,3949
15-12-2022 09:30,2654,2648,8125
15-12-2022 09:25,2657.95,2655.25,7473
15-12-2022 09:20,2657.2,2658,8074
15-12-2022 09:15,2666.35,2657.05,11287
15-12-2022 09:05,2666,2666,194
14-12-2022 16:50,2672.45,2672.45,0
14-12-2022 15:40,2672.45,2672.45,50
14-12-2022 15:30,2672.45,2672.45,217
14-12-2022 15:25,2660.65,2663.85,14960
14-12-2022 15:20,2662.55,2660,23364
14-12-2022 15:15,2667.55,2663.3,25323
14-12-2022 15:10,2684.05,2665.25,27079
14-12-2022 15:05,2676.05,2681.8,22750
14-12-2022 15:00,2703.1,2677.6,20003
14-12-2022 14:55,2699,2701.35,4316
14-12-2022 14:50,2698.95,2699,5616
14-12-2022 14:45,2694,2698.95,3762
14-12-2022 14:40,2697,2694,2155
14-12-2022 14:35,2694.15,2694.05,11476
14-12-2022 14:30,2691.25,2694.15,3656
14-12-2022 14:25,2689.65,2689.8,2053
14-12-2022 14:20,2688.15,2690.25,1664
14-12-2022 14:15,2689.45,2688.6,5230
14-12-2022 14:10,2685,2686.7,4439
14-12-2022 14:05,2683,2684,2237
14-12-2022 14:00,2677.1,2682.85,1490
14-12-2022 13:55,2679.6,2677.15,891
14-12-2022 13:50,2679.2,2679.6,1734
14-12-2022 13:45,2681,2677,2021
14-12-2022 13:40,2678.95,2681,2032
14-12-2022 13:35,2676,2678.95,1594
